ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Jakiego miasta szukał Koziołek Matołek?;Rzeszowa;Baranowa;Krakowa;Pacanowa;4
2;Co kochani wycinają na pniach drzew?;Serce przebite strzałą;Dłonie złączone szarfą;Mózg z wbitą różą;Motyle w brzuchu;1
3;Czego wyznanie to credo?;Wiary;Winy;Tajemnicy;Miłości;1
4;Który z wymienionych jest najbardziej zbliżony do koloru nude?;Marengo;Krwistoczerwony;Ciemnozielony;Jasnobeżowy;4
5;Żeby zrobić kogel-mogel, musisz mieć:;Śmietanę;Jajka;Tartą bułkę;Makaron;2
6;Licówki zapewnią nam:;Gęste włosy;Piękny uśmiech;Gładkie pięty;Zalotne spojrzenie;2
7;Jak ma na imię legenda argentyńskiej piłki nożnej Maradona?;Cristiano;Diego;Fabio;Marco;2
8;Wschodnioazjatycie kraje o szybkim wzroście PKB to tak zwane azjatyckie:;Zające;Szczury;Dziki;Tygrysy;4
9;Jaka jest kolejność kolorów w drogowym sygnalizatorze świetlnym, zaczynając od góry?;Żółty, Czerwony, Zielony;Czerwony, Zielony, Żółty;Zielony, Żółty, Czerwony;Czerwony, Żółty, Zielony;4
10;Tylko jedna z tych piłek ma brzeszczot:;Do metalu;Do koszykówki;Do ping-ponga;Do siatkówki;1
