ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Kto według Biblii był pierwszym człowiekiem, który się urodził?;Abel;Adam;Abraham;Kain;4
2;Proteiny to inaczej;Tłuszcze;Białka;Węglowodany;Witaminy;2
3;Jaki wybitnie trujący pierwiastek posiada Symbol Pu;promet;ołów;pluton;polon;3
4;Przedstawiciel dyplomatyczny Watykanu odpowiadający rangą ambasadorowi to: ;ataache;regent;komisarz;nuncjusz;4
5;Z jakiej części owada wyrastają skrzydła?;z odwłoku;z tułowia;z głowy;z nóg;2
6;Z jakiej europejskiej stolicy pochodzi piwo Calsberg?;z Berlina;z Dublina;ze Sztokholmu;z Kopenhagi;4
7;Lemury występują na:;Kostaryce;Madagaskarze;Sri Lance;Hawajach;2
8;W którym roku powstała Organizacja narodów zjednoczonych?;w 1945;w 1918;w 1946;w 1919;1
9;Która z wymienionych bitew miała miejsce najwcześniej?;Pod Chocimiem;Pod Cedynią;Pod Maciejowicami;Pod Grunwaldem;2
10;Kiedy rozpoczęło się drugie tysiąclecie?;1 stycznia 1000 r.;1 stycznia 1001 r.;1 stycznia 2000 r.;1 stycznia 2001 r.;2
