ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Trunek dobry na frasunek najprędzej znajdziemy:;w bidonie;w menażce;w probówce;w piersiówce;4
2;Z czego zrobiona jest płyta OSB?; z wiórów drzewnych;z tłucznia ceramicznego;z gruzu budowlanego ;z polichlorku winylu;1
3;Która koperta bywa z kruszcu?;zegarka ;kołdry;listu;z łapówki;1
4;Ulubiony kolor fanów egzystencjalizmu i egzystencjalistów to:;czarny;biały;zielony;czerwony ;1
5;Jakie kwiaty zwykle zachwaszczają pola pszenicy?;konwalie;chabry;tulipany;nasturcje;2
6;Za iloma górami i za iloma lasami zaczyna się bajka?;za trzema;za pięcioma;za siedmioma;za dziewięcioma;3
7;Ile aktów ma aktówka?;żadnego;dwa;cztery;sześć;1
8;Które narzędzie to grzebień osadzony na stylisku?;siekiera;graca;grabie;łopata;3
9;Nazwa technologii bezprzewodowej komunikacji krótkiego zasięgu pomiędzy różnymi urządzeniami elektronicznymi nawiązuje:;do Sinobrodego;do Haralda Sinozębego;do Raya Blue;do płetwala błękitnego;2
10;Bawole serca lub malinowe. Co z nich będzie?; szarlotka;kartoflak;dżem śliwkowy;zupa pomidorowa;4
