ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Skrzelami oddychają:;Gady;Ptaki;Ssaki;Ryby;4
2;Jak nazywa się owoc dębu?;Szyszka;Grono;Żołądź;Strąk;3
3;W jakim kraju znajduje się największa część puszczy tropikalnej?;W Wenezueli;W Brazylii;W Meksyku;W Indonezji;2
4;Specjalista w danej dziedzinie, rzeczoznawca to:;Biegły;Kroczący;Pieszy;Śmigły;1
5;Ile potraw tradycyjnie powinno znajdować się na wyigilinym stole?;Czternaście;Dziesięć;Dwanaście;Piętnaście;3
6;Które państwo nie graniczy z Polską?;Litwa;Czechy;Słowenia;Słowacja;3
7;Zadaniem celników jest pobieranie:;Cła;Domiaru;Garaczu;Małdratu;1
8;Jaka jest szósta litera polskiego alfabetu?;C;Ć;E;D;4
9;Najmniejszym europejskim państwem jest:;Andora;Watykan;San Marino;Liechtenstein;2
10;Z jakim ssakiem spokrewniony jest bizon?;z widłorogiem;z łosiem;z żubrem;z sarną;3
