ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;"Milionerzy" to:;buhaj;byk;wół;bawół;2
2;Dokończ: Nosił wilk razy kilka…;teraz odpoczynku chwilka;bo prosiła go Emilka;ponieśli i wilka;aż mu się ucho urwało;3
3;Kopniak na szczęście, czerwone figi i koniecznie coś pożyczonego to reguła:;zdającego na prawo jazdy;panny młodej;maturzystki;żołnierza przed przysięgą;3
4;W jakiej pozycji najczęściej przedstawiany jest Budda?;lotosu;pioruna;drzewa;bohatera;1
5;Kto zgodnie z polską konstytucją stosuje prawo łaski i jest najwyższym zwierzchnikiem sił zbrojnych?;prezydent;premier;minister obrony narodowej;minister sprawiedliwości;1
6;Treścią której piosenki Amy Winehouse jest odmowa pójścia na odwyk?;"""Love Is a Losing Game""";"""Rehab""";"""In my Bed""";"""Monkey Man""";2
7;W co najuboższy jest step?;w trawy;w drzewa;w ssaki kopytne;w owady;2
8;Nazwa którego koloru ma kwiatowe pochodzenie?;pąsowego;brązowego;mahniowego;koralowego;1
9;Który z filmowych psich bohaterów w 2017 r. skończył 50 lat?;Reksio;pioruna;Beethoven;Lassie;1
10;W spodniach i na świadectwie mamy:;Pasek;Dwójkę;Tróję;Czwórę;1
