ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Które z podanych województw ma najmniejszą powierzchnię?;Podlaskie;Opolskie;Łódzkie;Lubuskie;2
2;Jaką nagrodę otrzymuje najlepszy film na festiwalu filmowym w Cannes?;Złotego Lwa;Złotego Lamparta;Złotą Palmę;Złoty Glob;3
3;Do mierzenia natężenia prądu służy:;Amperomierz;Watomierz;Omomierz;Waltomierz;1
4;W jakim kraju znajduje się tor wyścigowy w Hockenheimring?;W Niemczech;W Luksemburgu;W Austrii;W Szwajcarii;1
5;Jaki kolor dominuje na dzisiejszych banknotach o nominale pięćdziesiąt złotych?;pomarańczowy;niebieski;fioletowy;brązowy;2
6;Nowy dom wciśnięty między dwa stare budynki to:;kołek;czop;plomba;zaślepka;3
7;Wyspy jak ciasteczka.;Seszele;Antyle;Markizy;Cyklady;3
8;"Musisz przyznać, że jak tatuś zrobi dzióbek, to nie ma... (mhm, mhm) we wsi"" - mówi Adaś Miauczyński:";demonstrując selfie;garnirując drób;poprawiając synowi kaptur;składając origami;3
9;Co ile lat odbywają się mistrzostwa świata w piłce nożnej?;co dwa;co trzy;co cztery;co pięć;3
10;"Jakie miasto pokaże Ryanowi Goslingowi Ania z Polski, jeśli pokaże mu: ""Plan B i Łazienki, Przekąski i Zakąski, metro i Powązki""?";Gdańsk;Wrocław;Kraków;Warszawę;4
