ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Któremu zjawisku optycznemu nazwy użyczyła wróżka Morgana le Fay z legendy o królu Arturze?;zorzy polarnej;tęczy;halo;mirażowi;4
2;Kto założył firmę portretową i napisał: "Nie jest to przyjemność duża cały dzień malować stróża i za taki marny zysk zgłębiać taki głupi pysk"?;Jan Matejko;Stanisław Wyspiański;Wit Stwosz;Witkacy;4
3;Z czego w głównej mierze zrobione są tak zwane monety bulionowe?;z pasty rosołowej;ze zrolowanego mięsa;z miedzi;ze złota;4
4;Do którego Szekspirowskiego utworu Mendelssohn-Bartholdy skomponował słynny "Marsz weselny"?;do "Romea i Julii";do "Hamleta";do "Snu nocy letniej";"do "Poskromienia złośnicy";3
5;Które z miast przez sto lat było własnością rodziny Czartoryskich i jako centrum życia kulturalnego zyskało nazwę Polskie Ateny?;Włocławek;Puławy;Toruń;Bydgoszcz;2
6;Z czym nie rozstaje się pan Józio, hodowca drobiu z Chociul?;z żółtym golfem ;z rękawiczkami na sznurku;z czerwonym fezem;z paskiem w koguty;1
7;Może być i rzeczownikiem, i czasownikiem.;bomba;lufa;gała;pała;4
8;Co wywołuje kiłę?;pałeczka;laseczka;prątek;krętek;4
9;Skąd w listopadzie 1918 roku wracał do Polski Józef Piłsudski?;z Rosji;z Francji;z Wielkiej Brytanii ; z Niemiec;4
10;Która z wymienionych to planeta skalista?;Merkury;Jowisz;Uran;Saturn;1
