ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Bąkamy:;pod wodą ;coś pod nosem;jednym uchem;pod kołdrą;2
2;Który to pierwszy biblijny denat?;Kain;Abel;Adam;Noe;2
3;Nastawny w narzędziowej skrzynce. ;klucz;łom;młotek;przecinak;1
4;Obiektem astronomicznym jest:;biały lej;czerwona czeluść;niebieska wyrwa;czarna dziura;4
5;Które z państw ma tylko jedną stałą rzekę?;Egipt;Austria;Portugalia;Turcja;1
6;Niejadowity wąż.;boa;kobra;mamba;grzechotnik;1
7;W którym serialu w pierwszym odcinku na brzegu jeziora znaleziono ciało Laury Palmer?;w "Miasteczku Twin Peaks";w "Fargo";w "The Bridge: Na granicy";w "Crime Story";1
8;Kto był ministrem spraw wewnętrznych w rządzie Jana Olszewskiego? ;Krzysztof Kozłowski;Antoni Macierewicz;Andrzej Milczanowski;Zbigniew Siemiątkowski;2
9;Który z kompozytorów tworzył przede wszystkim operetki?;Jan Sebastian Bach;Wilhelm Friedemann Bach;Carl Philipp Emanuel Bach;Jacques Offenbach;4
10;Ojczystym językiem rodowitego brneńczyka jest:;francuski;czeski;niemiecki;włoski;2
