ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Który kompozytor pod koniec swojego życia był niemal całkowicie głuchy?;Lidwig van Beethoven;Joseph Haydn;Jan Sebastian Bach;Piotr Czajkowski;1
2;W którym sporcie swoich sił spróbował Adam Małysz po zakończeniu kariery skoczka narciarskiego?;W brydżu;W curlingu;W szachach;W rajdach samochodowych;4
3;Które z poniższych państw nie ma dostępu do morza?;Rumunia;Monako;Macedonia Północna;Albania;3
4;Ile przedsionków ma ludzkie serce?;Sześć;Dwa;Trzy;Pięć;2
5;Ile członmków liczył ostatecznie zespół Queen?;Czterech;Trzech;Dwóch;Sześciu;1
6;Jakiego koloru jest futro słynnej filmowej pantery z 1963 roku?;Różowego;Niebieskiego;Brązowego;Szarego;1
7;Jaka jest ósma litera polskiego alfabetu?;Ę;G;F;H;1
8;Jaki pierwiastek ma symbol Si?;Cyna;Krzem;Selen;Siarka;2
9;Instrumentem muzycznym jest:;Trójkąt;Detloid;Koło;Romb;1
10;Jakie warzywa występują w mundurkach?;Kalafiory;Brokuły;Ziemniaki;Ogórki;3
