ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Który instrument stroi muzyk?;tamburyn;kocioł;okarynę;czynele;2
2;Z gry na jakim instrumencie słynie Czesław Mozil?;na kornecie;na akordeonie;na djembe;na ksylofonie;2
3;Ile to jest 1111 razy 1111, jeśli 1 razy 1 to 1, a 11 razy 11 to 121?;12321;1 234 321;111 111 111;123 434 321;2
4;Kto jest mistrzem tego samego oręża, w jakim specjalizowała się mitologiczna Artemida?;Zorro;Legolas;Don Kichot;Longinus Podbipięta;2
5;Komiksowym "dzieckiem" rysownika Boba Kane'a jest:;Superman;Batman;Spider-Man;Captain America;2
6;Skąd pochodził Conan Barbarzyńca?;z Rivii;z Oz;z Mordoru;z Cimmerii;4
7;Co według Leszka Kołakowskiego jest sklepieniem domu, w którym duch ludzki mieszka?;Rozum;Bóg;Miłość;Czas;4
8;Odrażający drab z Kabaretu Starszych Panów dubeltówkę weźmie, wyjdzie i...:;rach-ciach!;buch, buch!;z rur dwóch;bum w brzuch;2
9;Który aktor urodził się w roku opatentowania kinematografu braci Lumière?;Rudolph Valentino;Humphrey Bogart;Charlie Chaplin;Fred Astaire;1
10;Mowa w obronie poety Archiasza przeszła do historii jako jeden z najświetniejszych popisów retorycznych:;Izokratesa;Cycerona;Demostenesa;Kwintyliana;2
