ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Wynik którego działania to apokaliptyczna liczba Bestii?;111+222;2x333;666-444 ;33!;2
2;Chopper to przerobiony:;stary przebój;motocykl;skórzany płaszcz ;moszcz z owoców;2
3;Jakiego koloru skórę ma większość bohaterów serii kreskówek "Simpsonowie"?;żółtego;szarego;niebieskiego;różowego ;1
4;Na fladze którego kraju widnieje przyprawa do pasztetu?;Hiszpanii;Grenady;Chin;Szwecji ;2
5;Na klawiaturze QWERTY dioda zapali się, gdy naciśniemy:;backspace;delete;alt;caps lock;4
6;Co zawierała puszka Pandory?;choroby i strapienia;byczki w pomidorach;obole od Charona;kolorowe koraliki;1
7;Artur Andrus śpiewa, że pił w Spale, a spał:;tam, gdzie stał;nie bacząc na szkwał ;w Pile;na hacjendzie w Chile;3
8;Kwiaty z błędem to:;herbaciane róże;modre chabry;żółte narcyze;fiołkowe kosaćce;3
9;Trzech z tych kompozytorów urodziło się w 1685 r, a jeden w 1770. Który?;Georg Friedrich Haendel;Johann Sebastian Bach;Ludwig van Beethoven;Domenico Scarlatti;3
10;Żywo reaguje na komendę daj głos.;pies;wyborca;lektor;śpiewak;1
