ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Pachnie awarią auta, jak słychać szczęk hamulcowych:;Szczęk;Żuchw;Zębów;Karabinów;1
2;Tak zwani trzej muszkieterowie z klawiatury to:;Ctrl, Alt, Delete;F1, F2, F3;A, B, C,;Tab, CapsLock, Shift;1
3;Którzy to kochankowie z Werony?;Orfeusz i Eurydyka;Romeo i Julia;Tristan i Izolda;Adam i Ewa;2
4;VAT to podatek od towarów i usług, tak zwany podatek od wartości:;Dodanej;Odjętej;Pomnożonej;Podzielonej;1
5;Które miasto zostało stolicą najpóźniej?;Astana;Ankara;Helsinki;Tirana;1
6;Przed czym kroczy pycha?;przed łakomstwem;przed upadkiem;przed otyłością;przed zdradą;2
7;Kto miałby największe szanse w zawodach z Robin Hoodem?;Rafał Dobrowolski;Mateusz Kusznierewicz;Rafał Majka;Kamil Stoch;1
8;Które zwierzę ma racice?;zebra;muł;Koń;Jeleń;4
9;"Pojechał dumnie, wrócił w trumnie"". Skąd Bolesław Bierut wrócił w trumnie?";z Waszyngtonu;z Moskwy;z Juraty;z Zakopanego;2
10;Gdzie 22 września 2014 r. rozpoczęły się demonstracje nazwane później rewolucją parasolek?;w Paryżu;w Hongkongu;w Warszawie;w Pradze;2
