ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Ile głosek jest w wyrazie "chrząszcz"?;Pięć;Cztery;Siedem;Osiem;1
2;Jaki akwen otaczas Baleatry?;Morze Karaibskie;Morze Barentsa;Ocean Atlantycki;Morze Śródziemne;4
3;Kto jest autorem książek o Kubusiu Puchatku?;Bracia Grimm;J.M. Barrie;A. A. Milne;H.Ch.Anderson;3
4;Ile oczek znajduje się na kostce sześciennej naprzeciw trójki?;Jedno;Cztery;Pięć;Sześć;2
5;Kto był ostatnim królem Polski?;Stanisław II August;Stanisław I Leszczyński;August II Mocny;August III Sas;1
6;Specjalistą od chorób serca jest:;Patolog;Urolog;Morfolog;Kardiolog;4
7;Jak nazywa się okres w dziejach kultury poprzedzający renesans?;Oświecenie;Średniowiecze;Starożytność;Barok;2
8;Autorem słynnego utworu "Bohemian Rhapsody" jest zespół:;Nirvana;Queen;Scorpions;Uriah Heep;2
9;Jak nazywał się młody Murzyn, towarzyszący Stasiowi i Nel w wędrówce przez Afrykę?;Waris;Simba;Chamis;Kali;4
10;Ile przedsionków ma ludzkie serce;Sześć;Dwa;Trzy;Pięc;2
